CodPro,SGE,status_A1,km_A1,n_vias_A1,ids_vias_A1,status_A2,km_A2,n_vias_A2,ids_vias_A2
OAE451,30143.0,encontrada,3.3176,8,BR-226;Rua Audízio Vieira do Nascimento;Rua Pedro II;Rua Franco Magalhães;Rua José Benigno Soares;Rua Antônio Soares;Rua Sisgismundo Rodrigues;OSM-tertiary,encontrada,126.893,18,BR-226;CE-363;BR-226;CE-060;CE-060;CE-060;CE-363;CE-166;OSM-secondary;Avenida José Chagas Filho;OSM-tertiary;Rua Antônio Pessoa de Carvalho;Rua Franco Magalhães;Rua Antônio Soares;Rua Sisgismundo Rodrigues
OAE452,30144.0,encontrada,43.6817,9,BR-226;CE-371;Avenida Joaquim Dantas Pinheiro;Rua João Alfredo Pinheiro;Avenida Vereador Acácio Nascimento Silva;OSM-tertiary;Rua José Gomes Pinheiro,encontrada,43.6817,9,BR-226;CE-371;Avenida Joaquim Dantas Pinheiro;Rua João Alfredo Pinheiro;Avenida Vereador Acácio Nascimento Silva;OSM-tertiary;Rua José Gomes Pinheiro
OAE453,30145.0,encontrada,187.9081,13,CE-153;BR-122;CE-153;CE-368;BR-122;CE-266;CE-371;Avenida Governador Manoel de Castro Filho;Avenida do Contorno;Rua José Guerra;Estrada para Jaguaribe;Rua Maria do Socorro Oliveira;Avenida Ex Combatente Cricerio Pinheiro Maia;OSM-tertiary,encontrada,187.9081,13,CE-153;BR-122;CE-153;CE-368;BR-122;CE-266;CE-371;Avenida Governador Manoel de Castro Filho;Avenida do Contorno;Rua José Guerra;Estrada para Jaguaribe;Rua Maria do Socorro Oliveira;Avenida Ex Combatente Cricerio Pinheiro Maia;OSM-tertiary
OAE454,30146.0,encontrada,202.3092,17,BR-226;CE-153;BR-122;CE-375;BR-122;Avenida Perimetral;BR-122;CE-375;CE-060;OSM-primary;CE-371;CE-275;CE-371;OSM-tertiary;Rua José Gomes Pinheiro;BR-226;CE-371,grafo_desconexo,0.0,0,
OAE455,30147.0,encontrada,3.9152,9,BR-226;Rua Audízio Vieira do Nascimento;Rua Pedro II;Rua Franco Magalhães;Avenida Carlos Jereissanti;CE-363;Avenida José Rolim Gomes;OSM-secondary,encontrada,119.0761,6,BR-226;CE-166;CE-060;CE-363
OAE456,30148.0,encontrada,202.3343,17,BR-226;BR-226;CE-371;Rua José Gomes Pinheiro;CE-371;OSM-tertiary;CE-275;CE-371;CE-060;OSM-primary;BR-122;CE-375;CE-375;BR-122;Avenida Perimetral;CE-153;BR-122,grafo_desconexo,0.0,0,
OAE457,30149.0,encontrada,88.4845,5,BR-226;BR-226;CE-060;CE-060;CE-363,encontrada,119.0366,6,BR-226;CE-060;CE-166;CE-363
OAE458,30150.0,encontrada,15.6031,3,BR-226;CE-060;OSM-tertiary,encontrada,15.6031,3,BR-226;CE-060;OSM-tertiary
OAE459,30151.0,encontrada,88.4586,5,BR-226;CE-363;CE-060;BR-226;CE-060,encontrada,119.0106,6,BR-226;CE-363;CE-166;CE-060
OAE460,30152.0,encontrada,51.4217,5,BR-226;CE-060;OSM-tertiary;CE-060;Rodovia do Algodão,encontrada,51.4217,5,BR-226;CE-060;OSM-tertiary;CE-060;Rodovia do Algodão
OAE461,30153.0,encontrada,51.5272,5,BR-226;CE-060;Rodovia do Algodão;CE-060;OSM-tertiary,encontrada,51.5272,5,BR-226;CE-060;Rodovia do Algodão;CE-060;OSM-tertiary
OAE462,30154.0,encontrada,88.4464,5,BR-226;CE-363;CE-060;BR-226;CE-060,encontrada,118.9985,6,BR-226;CE-363;CE-166;CE-060
OAE463,30155.0,encontrada,37.5351,4,BR-226;BR-226;CE-060;OSM-tertiary,encontrada,37.5351,4,BR-226;BR-226;CE-060;OSM-tertiary
